 x time
568 -0.29099 5.33045514
569 -0.29006 5.339820483
570 -0.28913 5.349204291
571 -0.28819 5.358572911
572 -0.28726 5.368032572
573 -0.28632 5.377323274
574 -0.28538 5.386687044
575 -0.28444 5.396102562
576 -0.2835 5.405429833
577 -0.28256 5.414835943
578 -0.28161 5.424183041
579 -0.28067 5.433584523
580 -0.27972 5.443034656
581 -0.27877 5.452327773
582 -0.27782 5.461692786
583 -0.27687 5.471110477
584 -0.27592 5.48044406
585 -0.27496 5.489809143
586 -0.27401 5.499187321
587 -0.27305 5.508590625
588 -0.27209 5.518035358
589 -0.27113 5.52730448
590 -0.27017 5.536701663
591 -0.26921 5.546087355
592 -0.26825 5.55545397
593 -0.26728 5.564819664
594 -0.26632 5.57420277
595 -0.26535 5.583568764
596 -0.26438 5.59303597
597 -0.26341 5.602311133
598 -0.26243 5.611710059
599 -0.26146 5.621094087
600 -0.26049 5.6304591
601 -0.25951 5.639825666
602 -0.25853 5.649203242
603 -0.25755 5.658569627
604 -0.25657 5.667935341
605 -0.25559 5.677313217
606 -0.2546 5.686709739
607 -0.25362 5.696094469
608 -0.25263 5.705460864
609 -0.25164 5.71482764
610 -0.25065 5.724204895
611 -0.24966 5.733570308
612 -0.24867 5.742937224
613 -0.24767 5.752314079
614 -0.24668 5.761711893
615 -0.24568 5.771096663
616 -0.24468 5.780462126
617 -0.24368 5.789832008
618 -0.24268 5.799214523
619 -0.24167 5.808577923
620 -0.24067 5.818039447
621 -0.23966 5.827328065
622 -0.23865 5.836693478
623 -0.23764 5.846103466
624 -0.23663 5.85543258
625 -0.23562 5.864836235
626 -0.23461 5.874188233
627 -0.23359 5.883585687
628 -0.23257 5.893040548
629 -0.23155 5.90233593
630 -0.23053 5.91169985
631 -0.22951 5.92111643
632 -0.22849 5.930451656
633 -0.22746 5.939814975
634 -0.22643 5.949186981
635 -0.2254 5.958591849
636 -0.22437 5.968041111
637 -0.22334 5.977302618
638 -0.22231 5.986707686
639 -0.22127 5.996090582
640 -0.22024 6.005457869
641 -0.2192 6.014825295
642 -0.21816 6.024208703
643 -0.21712 6.033573274
644 -0.21607 6.042937245
645 -0.21503 6.052309491
646 -0.21398 6.06168325
647 -0.21293 6.071100501
648 -0.21188 6.080428643
649 -0.21083 6.08983321
650 -0.20978 6.099176401
651 -0.20872 6.10858165
652 -0.20767 6.118042774
653 -0.20661 6.127332043
654 -0.20555 6.136695793
655 -0.20449 6.146107984
656 -0.20342 6.155439904
657 -0.20236 6.164835664
658 -0.20129 6.174189205
659 -0.20022 6.183556782
660 -0.19915 6.193043775
661 -0.19808 6.202305463
662 -0.19701 6.211701955
663 -0.19593 6.221093868
664 -0.19486 6.230460383
665 -0.19378 6.23982788
666 -0.1927 6.249176942
667 -0.19161 6.258582992
668 -0.19053 6.268044086
669 -0.18944 6.277332444
670 -0.18836 6.28669926
671 -0.18727 6.296111051
672 -0.18617 6.305443682
673 -0.18508 6.314809665
674 -0.18399 6.324186541
675 -0.18289 6.333583423
676 -0.18179 6.343044848
677 -0.18069 6.352333185
678 -0.17959 6.361700181
679 -0.17849 6.37111047
680 -0.17738 6.3804428
681 -0.17627 6.389813052
682 -0.17516 6.399181812
683 -0.17405 6.408588252
684 -0.17294 6.418050549
685 -0.17182 6.427338355
686 -0.17071 6.436703578
687 -0.16959 6.446112543
688 -0.16847 6.455445124
689 -0.16735 6.464814755
690 -0.16622 6.474190418
691 -0.1651 6.48358712
692 -0.16397 6.493047302
693 -0.16284 6.502304882
694 -0.16171 6.511708748
695 -0.16057 6.521093137
696 -0.15944 6.530459211
697 -0.1583 6.539825466
698 -0.15716 6.549202892
699 -0.15602 6.558568595
700 -0.15487 6.567935581
701 -0.15373 6.577311735
702 -0.15258 6.5867103
703 -0.15143 6.596093447
704 -0.15028 6.605425788
705 -0.14913 6.614827409
706 -0.14797 6.624218992
707 -0.14682 6.633568155
708 -0.14566 6.642936454
709 -0.1445 6.65231455
710 -0.14333 6.661679653
711 -0.14217 6.671108105
712 -0.141 6.680441668
713 -0.13983 6.689819515
714 -0.13866 6.699190719
715 -0.13749 6.708557304
716 -0.13631 6.71805074
717 -0.13514 6.72731387
718 -0.13396 6.736679263
719 -0.13278 6.746102555
720 -0.13159 6.755435237
721 -0.13041 6.764834063
722 -0.12922 6.774186922
723 -0.12803 6.783550893
724 -0.12684 6.792951492
725 -0.12565 6.802328017
726 -0.12445 6.811693129
727 -0.12325 6.821102565
728 -0.12205 6.830435968
729 -0.12085 6.839801832
730 -0.11965 6.849187072
731 -0.11844 6.858553046
732 -0.11723 6.867952604
733 -0.11602 6.877327555
734 -0.11481 6.886694441
735 -0.1136 6.896098247
736 -0.11238 6.905429034
737 -0.11116 6.914831066
738 -0.10994 6.924207931
739 -0.10871 6.93357097
740 -0.10749 6.942938046
741 -0.10626 6.952315762
742 -0.10503 6.961682467
743 -0.1038 6.9711058
744 -0.10256 6.980439062
745 -0.10133 6.989804946
746 -0.10009 6.999203161
747 -0.09885 7.008562763
748 -0.0976 7.018056278
749 -0.09636 7.027313446
750 -0.09511 7.036677026
751 -0.09386 7.046127059
752 -0.09261 7.055460261
753 -0.09135 7.064825644
754 -0.0901 7.074203912
755 -0.08884 7.083569194
756 -0.08758 7.09293581
757 -0.08631 7.102313726
758 -0.08505 7.111678318
759 -0.08378 7.121126017
760 -0.08251 7.130423662
761 -0.08123 7.139827627
762 -0.07996 7.149205353
763 -0.07868 7.158570376
764 -0.0774 7.167935639
765 -0.07612 7.177312323
766 -0.07483 7.186678868
767 -0.07355 7.196109785
768 -0.07226 7.20543394
769 -0.07096 7.214802088
770 -0.06967 7.224192338
771 -0.06837 7.233559454
772 -0.06707 7.242958761
773 -0.06577 7.252306241
774 -0.06447 7.261702883
775 -0.06316 7.271119403
776 -0.06185 7.280452706
777 -0.06054 7.28981924
778 -0.05923 7.299192729
779 -0.05791 7.308561428
780 -0.05659 7.317934796
781 -0.05527 7.32731134
782 -0.05395 7.336708814
783 -0.05262 7.346119332
784 -0.05129 7.355452463
785 -0.04996 7.364817576
786 -0.04863 7.374196405
787 -0.04729 7.383562278
788 -0.04595 7.392960093
789 -0.04461 7.402305748
790 -0.04327 7.411699425
791 -0.04192 7.421116936
792 -0.04057 7.430453585
793 -0.03922 7.439819208
794 -0.03786 7.449201995
795 -0.03651 7.45856841
796 -0.03515 7.467933412
797 -0.03379 7.47731207
798 -0.03242 7.486676441
799 -0.03105 7.496126594
800 -0.02968 7.505459786
801 -0.02831 7.514832854
802 -0.02693 7.524208126
803 -0.02556 7.533580882
804 -0.02418 7.54294343
805 -0.02279 7.552321447
806 -0.02141 7.561687301
807 -0.02002 7.571137203
808 -0.01863 7.580439136
809 -0.01723 7.58983646
810 -0.01583 7.599176034
811 -0.01443 7.608583987
812 -0.01303 7.617950873
813 -0.01163 7.627328449
814 -0.01022 7.636690847
815 -0.00881 7.646140449
816 -0.00739 7.655440658
817 -0.00598 7.664810049
818 -0.00456 7.674193546
819 -0.00314 7.683560192
820 -0.00171 7.69296019
821 -0.00029 7.702306026
822 0.00115 7.710650201
823 0.00258 7.718965281
824 0.00401 7.727323743
825 0.00545 7.735640256
826 0.0069 7.744067848
827 0.00834 7.752313086
828 0.00979 7.760657833
829 0.01124 7.769069475
830 0.01269 7.777304694
831 0.01415 7.785651654
832 0.01561 7.79396449
833 0.01707 7.802317471
834 0.01854 7.810672006
835 0.02 7.819066465
836 0.02148 7.827310752
837 0.02295 7.835660006
838 0.02443 7.844069444
839 0.02591 7.852305304
840 0.02739 7.860651012
841 0.02888 7.869066251
842 0.03037 7.877331697
843 0.03186 7.885638391
844 0.03335 7.894071013
845 0.03485 7.902321741
846 0.03635 7.910630419
847 0.03786 7.919064925
848 0.03937 7.927311786
849 0.04088 7.935662202
850 0.04239 7.944066712
851 0.04391 7.952308974
852 0.04543 7.960656936
853 0.04695 7.969070742
854 0.04848 7.977334836
855 0.05001 7.985647591
856 0.05154 7.994072779
857 0.05308 8.002326112
858 0.05462 8.010641703
859 0.05616 8.019085275
860 0.0577 8.027324151
861 0.05925 8.035633721
862 0.0608 8.044072173
863 0.06236 8.052314166
864 0.06392 8.06066316
865 0.06548 8.068970715
866 0.06705 8.07732558
867 0.06861 8.085640309
868 0.07019 8.094073522
869 0.07176 8.102317498
870 0.07334 8.110663707
871 0.07492 8.119073896
872 0.07651 8.127307512
873 0.0781 8.135652579
874 0.07969 8.143971857
875 0.08128 8.152329606
876 0.08288 8.160646831
877 0.08448 8.169074493
878 0.08609 8.177317767
879 0.0877 8.185663284
880 0.08931 8.194069085
881 0.09093 8.202307661
882 0.09255 8.210653899
883 0.09417 8.218969259
884 0.0958 8.22732142
885 0.09743 8.235634546
886 0.09906 8.244069772
887 0.1007 8.252314419
888 0.10234 8.260661619
889 0.10398 8.269073603
890 0.10563 8.277307509
