x y z time
-0.662394 -4.36666 0.00181371 2.80698
-0.661874 -4.36349 0.00181433 2.80798
-0.661354 -4.36032 0.00181495 2.80898
-0.660834 -4.35715 0.00181557 2.80998
-0.660313 -4.35397 0.00181620 2.81098
-0.659792 -4.35080 0.00181683 2.81198
-0.659270 -4.34762 0.00181746 2.81298
-0.658748 -4.34445 0.00181809 2.81398
-0.658226 -4.34127 0.00181873 2.81498
-0.657703 -4.33810 0.00181936 2.81598
-0.657180 -4.33492 0.00182000 2.81698
-0.656656 -4.33175 0.00182064 2.81798
-0.656132 -4.32857 0.00182128 2.81898
-0.655607 -4.32540 0.00182192 2.81998
-0.655082 -4.32222 0.00182257 2.82098
-0.654557 -4.31904 0.00182322 2.82198
-0.654031 -4.31587 0.00182387 2.82298
-0.653505 -4.31269 0.00182452 2.82398
-0.652978 -4.30951 0.00182517 2.82498
-0.652451 -4.30634 0.00182582 2.82598
-0.651923 -4.30316 0.00182648 2.82698
-0.651395 -4.29998 0.00182714 2.82798
-0.650866 -4.29680 0.00182780 2.82898
-0.650337 -4.29362 0.00182846 2.82998
-0.649808 -4.29044 0.00182912 2.83098
-0.649278 -4.28726 0.00182979 2.83198
-0.648748 -4.28408 0.00183045 2.83298
-0.648217 -4.28091 0.00183112 2.83398
-0.647686 -4.27773 0.00183179 2.83498
-0.647154 -4.27455 0.00183247 2.83598
-0.646622 -4.27136 0.00183314 2.83698
-0.646090 -4.26818 0.00183382 2.83798
-0.645557 -4.26500 0.00183449 2.83898
-0.645023 -4.26182 0.00183517 2.83998
-0.644489 -4.25864 0.00183585 2.84098
-0.643955 -4.25546 0.00183654 2.84198
-0.643420 -4.25228 0.00183722 2.84298
-0.642885 -4.24909 0.00183791 2.84398
-0.642349 -4.24591 0.00183860 2.84498
-0.641813 -4.24273 0.00183929 2.84598
-0.641277 -4.23955 0.00183998 2.84698
-0.640740 -4.23636 0.00184067 2.84798
-0.640202 -4.23318 0.00184137 2.84898
-0.639664 -4.22999 0.00184206 2.84998
-0.639126 -4.22681 0.00184276 2.85098
-0.638587 -4.22363 0.00184346 2.85198
-0.638048 -4.22044 0.00184416 2.85298
-0.637508 -4.21726 0.00184487 2.85398
-0.636967 -4.21407 0.00184557 2.85498
-0.636427 -4.21089 0.00184628 2.85598
-0.635886 -4.20770 0.00184699 2.85698
-0.635344 -4.20451 0.00184770 2.85798
-0.634802 -4.20133 0.00184841 2.85898
-0.634259 -4.19814 0.00184913 2.85998
-0.633716 -4.19495 0.00184984 2.86098
-0.633173 -4.19177 0.00185056 2.86197
-0.632629 -4.18858 0.00185128 2.86297
-0.632084 -4.18539 0.00185200 2.86397
-0.631540 -4.18221 0.00185272 2.86497
-0.630994 -4.17902 0.00185345 2.86597
-0.630448 -4.17583 0.00185417 2.86697
-0.629902 -4.17264 0.00185490 2.86797
-0.629355 -4.16945 0.00185563 2.86897
